Categoría,Código,Descripción,Precio Clínica,Lab,Precio Total,Proveedor
Acciones preventivas,AP002,"Instrucción de higiene oral, técnica de cepillado",12700,0,12700,USS Valdivia
Cirugía bucal,CB001,Exodoncia simple,11900,0,11900,USS Valdivia
Cirugía bucal,CB002,Exodoncia a colgajo o semi-incluida,29500,0,29500,USS Valdivia
Cirugía bucal,CB003,Exodoncia diente incluido,41200,0,41200,USS Valdivia
Cirugía bucal,CB005,Exodoncia 4 terceros molares incluidos,152800,0,152800,USS Valdivia
Cirugía bucal,CB012,Cirugía apical y pararradicular (Incisivo),66900,0,66900,USS Valdivia
Cirugía de Implantes,CI001,Implante oseointegrado,58900,0,58900,USS Valdivia
Cirugía de Implantes,CI002,Reconstrucción rebordes (homo/heteroinjertos),176300,0,176300,USS Valdivia
Cirugía de Implantes,CI003,Elevación seno maxilar,235000,0,235000,USS Valdivia
Cirugía de Implantes,CI005,Conexión de implantes,29500,0,29500,USS Valdivia
Cirugía de Implantes,CI006,Regeneración tisular guiada,88200,0,88200,USS Valdivia
Cirugía de Implantes,CI008,Guía quirurgica impresa exacta,10500,0,10500,USS Valdivia
Pabellón,PB006,Toma de muestra PRF/I-PRF,11900,0,11900,USS Valdivia
Pabellón,PB007,Derecho pabellón Baja Complejidad,53500,0,53500,USS Valdivia
Pabellón,PB008,Derecho pabellón Mediana Complejidad,83100,0,83100,USS Valdivia
Pabellón,PB009,Derecho pabellón Alta Complejidad,118600,0,118600,USS Valdivia
Habilitación s/ Implante,RI001,Pilar muñón sobre implantes,27000,70000,97000,USS Valdivia
Habilitación s/ Implante,RI002,Corona temporal sobre implantes,12000,11000,23000,USS Valdivia
Habilitación s/ Implante,RI020,Corona Sobre implantes Atornillada/Cementada,35400,68200,103600,USS Valdivia
Habilitación s/ Implante,RI021,Corona Sobre implantes Cementada (Disilicato),35400,68200,103600,USS Valdivia
Habilitación s/ Implante,RI030,Prótesis Hibrida,82400,0,82400,USS Valdivia
Radiología,RD001,Radiografía retroalveolar,2800,0,2800,USS Valdivia
Radiología,RD002,Radiografía retroalveolar total,0,16600,16600,USS Valdivia
Implantes,BIS,Implante IS-II Active (Narrow-Regular),0,0,54000,Neobiotech
Implantes,IS3,Implante IS-III Active (Narrow-Regular),0,0,63000,Neobiotech
Componentes,ISH,Cicatrizal Neobiotech,0,0,10000,Neobiotech
Componentes,ISLA,Analogo de Implante Neobiotech,0,0,10000,Neobiotech
Rehabilitación,ISAH,Pilar Recto Neobiotech,0,0,32400,Neobiotech
Rehabilitación,ISMUA,Multi-Unit Recto Neobiotech,0,0,40500,Neobiotech
Implantes,109.906,Implante Titamax GM 3.5X7,0,0,53922,Neodent
Implantes,109.949,Implante Helix GM 4.3X10,0,0,70669,Neodent
Implantes,140.949,Implante Helix GM Acqua 4.3X10,0,0,82021,Neodent
Componentes,106.214,Cicatrizador GM Neodent,0,0,19308,Neodent
Rehabilitación,115.238,Pilar GM Exact Neodent,0,0,36709,Neodent
Rehabilitación,115.244,Mini Pilar Conico GM Neodent,0,0,34479,Neodent
Xeno Injerto,1510,cerabone Granules 0.5 cc (0.5-1.0 mm),0,0,60450,Botiss (AllBiomed)
Aloinjerto,30005,maxgraft Granules Cancellous 0.5 cc,0,0,93100,Botiss (AllBiomed)
Membranas,681520,Jason membrane 15 x 20 mm,0,0,80910,Botiss (AllBiomed)
Membranas,601520,collprotect membrane 15 x 20 mm,0,0,70500,Botiss (AllBiomed)
Membranas,801520,permamem 15 x 20 mm,0,0,58900,Botiss (AllBiomed)
Biomateriales,NBP4x025,Novabone
